data,block_timestamp
b'signal for today is 75% btc / 25% usd',2015-06-27 19:50:11
b'signal for today is 100% btc / 0% usd',2015-06-28 20:11:43
b'signal for today is 100% btc / 0% usd',2015-06-29 19:41:09
b'signal for today is 100% btc / 0% usd',2015-06-30 19:34:07
b'signal for today is 100% btc / 0% usd',2015-07-01 23:06:09
b'signal for today 100% btc / 0% usd',2015-07-02 19:26:41
b'signal for today is 100% btc / 0% usd',2015-07-03 19:44:49
b'signal for today is 100% btc / 0% usd',2015-07-04 21:10:31
b'signal for today is 100% btc / 0% usd',2015-07-05 22:45:33
b'signal for today is 100% btc / 0% usd',2015-07-06 20:31:34
b'signal for today is 100% btc / 0% usd',2015-07-07 20:19:20
b'signal for today is 100% btc / 0% usd',2015-07-08 19:45:38
b'signal for today is 100% btc / 0% usd',2015-07-09 19:30:13
b'signal for today is 100% btc / 0% usd',2015-07-11 00:15:48
b'signal for today is 100% btc / 0% usd',2015-07-11 00:58:00
b'signal for today is 100% btc / 0% usd',2015-07-11 19:36:12
b'signal for today is 75% btc / 25% usd',2015-07-12 19:40:36
b'signal for today is 100% btc / 0% usd',2015-07-13 21:19:55
b'signal for today is 100% btc / 0% usd',2015-07-14 19:47:29
b'signal for today is 100% btc / 0% usd',2015-07-15 19:47:24
b'signal for today is 100% btc / 0% usd',2015-07-16 19:38:38
b'signal for today is 100% btc / 0% usd',2015-07-17 19:49:05
b'signal for today is 75% btc / 25% usd',2015-07-18 19:33:44
b'signal for today is 75% btc / 25% usd',2015-07-19 21:16:52
b'signal for today is 100% btc / 0% usd',2015-07-20 19:50:49
b'signal for today is 100% btc / 0% usd',2015-07-21 19:43:02
b'signal for today is 100% btc / 0% usd',2015-07-22 20:03:16
b'signal for today is 100% btc / 0% usd',2015-07-23 19:49:07
b'signal for today is 100% btc / 0% usd',2015-07-24 20:23:33
b'signal for today is 100% btc / 0% usd',2015-07-25 22:30:36
b'signal for today is 100% btc / 0% usd',2015-07-26 19:30:54
b'signal for today is 100% btc / 0% usd',2015-07-27 19:58:20
b'signal for today is 100% btc / 0% usd',2015-07-28 19:36:24
b'signal for today is 100% btc / 0% usd',2015-07-30 01:36:08
b'signal for today is 100% btc / 0% usd',2015-07-30 20:02:34
b'signal for today is 100% btc / 0% usd',2015-07-31 20:19:13
b'signal for today is 50% btc / 50% usd',2015-08-01 19:35:13
b'signal for today is 25% btc / 75% usd',2015-08-02 19:48:09
b'signal for today is 25% btc / 75% usd',2015-08-03 19:44:17
b'signal for today is 75% btc / 25% usd',2015-08-04 19:45:57
b'signal for today is 75% btc / 25% usd',2015-08-05 19:36:18
b'signal for today is 25 % btc / 75 % usd',2015-08-06 19:44:38
b'signal for today is  % btc /  % usd',2015-08-07 09:49:33
