Date;Last Price
20/8/24;60017,06
19/8/24;59103,84
18/8/24;59824,95
17/8/24;59404,29
16/8/24;59299,16
15/8/24;56681,01
14/8/24;59157,9
13/8/24;60587,07
12/8/24;58856,37
11/8/24;58518,89
10/8/24;61009,06
9/8/24;60776,95
8/8/24;59537,8
7/8/24;55154,01
6/8/24;56571,57
5/8/24;54395,26
4/8/24;59135,51
3/8/24;60366,85
2/8/24;62551,57
1/8/24;64694,03
31/7/24;64559,96
30/7/24;66174,57
29/7/24;67367,26
28/7/24;68007,6
27/7/24;67788,03
26/7/24;67448,64
25/7/24;65275,46
24/7/24;66042,98
23/7/24;65854,09
22/7/24;68147,89
21/7/24;67741,98
20/7/24;67382,51
19/7/24;66985,87
18/7/24;63818,99
17/7/24;64523,61
16/7/24;64695,41
15/7/24;63779,01
14/7/24;60115,19
13/7/24;58607,75
12/7/24;57558,83
11/7/24;57553,71
10/7/24;57404,96
9/7/24;57928,24
8/7/24;56258,41
7/7/24;57264,42
6/7/24;57989,71
5/7/24;56354,49
4/7/24;58329,01
3/7/24;59542,7
2/7/24;61922,42
1/7/24;63236,01
30/6/24;61904,96
29/6/24;60949,7
28/6/24;60118,16
27/6/24;61418,85
26/6/24;60954,51
25/6/24;61914,64
24/6/24;59474,74
23/6/24;63704,95
22/6/24;64262,16
21/6/24;64168,01
20/6/24;65060,38
19/6/24;64851,51
18/6/24;64891,21
17/6/24;66375,54
16/6/24;66465,35
15/6/24;66010,76
14/6/24;65734,85
13/6/24;66676,76
12/6/24;68083,66
11/6/24;67280,16
10/6/24;69608,6
9/6/24;69682,9
8/6/24;69371,48
7/6/24;69270,57
6/6/24;70688,73
5/6/24;71216,04
4/6/24;70422,79
3/6/24;69097,7
2/6/24;67794,98
1/6/24;67742,95
31/5/24;67630,41
30/5/24;68469,51
29/5/24;67410,37
28/5/24;68241,51
27/5/24;69590,89
26/5/24;68683,35
25/5/24;69096,85
24/5/24;68849,43
23/5/24;67753,41
22/5/24;69411,32
21/5/24;69711,51
20/5/24;69522,56
19/5/24;66156,45
18/5/24;66991,2
17/5/24;66926,64
16/5/24;65279,32
15/5/24;65981,66
14/5/24;61579,46
13/5/24;63089,33
12/5/24;61272,65
11/5/24;60996,96
10/5/24;60501,2
9/5/24;62633,68
8/5/24;61568,87
7/5/24;62973,05
6/5/24;63301,55
5/5/24;63746
4/5/24;63880,21
3/5/24;62928,89
2/5/24;58743,14
1/5/24;57293,55
30/4/24;59868,89
29/4/24;62943,49
28/4/24;63663,05
27/4/24;63233,89
26/4/24;63939,27
25/4/24;64796,69
24/4/24;64049,7
23/4/24;66353,7
22/4/24;66538,41
21/4/24;64657,01
20/4/24;64756,57
19/4/24;64071,26
18/4/24;63528,51
17/4/24;60855,27
16/4/24;63039,97
15/4/24;63152,49
14/4/24;63863,84
13/4/24;61967,01
12/4/24;67127,64
11/4/24;70509,59
10/4/24;69807,51
9/4/24;69127,2
8/4/24;71706,37
7/4/24;69318,14
6/4/24;68409,01
5/4/24;67660,41
4/4/24;67948,37
3/4/24;65742,2
2/4/24;65702,14
1/4/24;69767,89
31/3/24;70845,76
30/3/24;69857,12
29/3/24;69654,16
28/3/24;70712,89
27/3/24;68862,16
26/3/24;69825,01
25/3/24;70959,89
24/3/24;66153,2
23/3/24;65011,85
22/3/24;63509,03
21/3/24;65466,78
20/3/24;67078,54
19/3/24;63749,51
18/3/24;67352,39
17/3/24;68271,21
16/3/24;67096,54
15/3/24;67859,14
14/3/24;70681,39
13/3/24;73157,29
12/3/24;71063,39
11/3/24;72115,85
10/3/24;69430,41
9/3/24;68532,1
8/3/24;68398,85
7/3/24;67332,89
6/3/24;66481,26
5/3/24;63330,43
4/3/24;67494,73
3/3/24;62855,02
2/3/24;61971,26
1/3/24;62589,24
29/2/24;61430,64
28/2/24;60550,68
27/2/24;56731,14
26/2/24;54656,39
25/2/24;51769,03
24/2/24;51561,02
23/2/24;50981,2
22/2/24;51650,63
21/2/24;51388,56
20/2/24;52037,65
19/2/24;51906,55
18/2/24;51872,49
17/2/24;51808,28
16/2/24;52016,4
15/2/24;51371,31
14/2/24;51772,71
13/2/24;49563,06
12/2/24;49843,24
11/2/24;48133,2
10/2/24;47954,54
9/2/24;47547,04
8/2/24;45331,74
7/2/24;44188,33
6/2/24;43163,65
5/2/24;42342,38
4/2/24;42759,88
3/2/24;43028,9
2/2/24;42979,38
1/2/24;43085,26
31/1/24;42458,43
30/1/24;43547,31
29/1/24;43185,4
28/1/24;41971,79
27/1/24;42151,09
26/1/24;41994,36
25/1/24;39904,41
24/1/24;39765,38
23/1/24;39201,77
22/1/24;39815,45
21/1/24;41760,99
20/1/24;41702,95
19/1/24;41602,18
18/1/24;41069,92
17/1/24;42637,06
16/1/24;43434,42
15/1/24;42687,31
14/1/24;42516,04
13/1/24;42962,51
12/1/24;43426,6
11/1/24;46163,13
10/1/24;45945,61
9/1/24;45427,01
8/1/24;47114,68
7/1/24;44258,51
6/1/24;43921,45
5/1/24;43970,52
4/1/24;44488,33
3/1/24;42938,06
2/1/24;45127,01
1/1/24;43628,4
31/12/23;42507,9
30/12/23;42303,24
29/12/23;41935,34
28/12/23;42472,51
27/12/23;43395,74
26/12/23;42340,74
25/12/23;43531,11
24/12/23;43529,13
23/12/23;43803,74
22/12/23;43747,1
21/12/23;44004,47
20/12/23;43449,76
19/12/23;42495,81
18/12/23;42614,99
17/12/23;41881,9
16/12/23;42270,56
15/12/23;42240,95
14/12/23;42994,83
13/12/23;42993,29
12/12/23;41088,75
11/12/23;41182
10/12/23;43803,24
9/12/23;43986,01
8/12/23;44554,76
7/12/23;43390,95
6/12/23;43822,33
5/12/23;43900,51
4/12/23;42036,51
3/12/23;39727,65
2/12/23;39581,59
1/12/23;38796,61
30/11/23;37750,77
29/11/23;37737
28/11/23;37967,5
27/11/23;37032,56
26/11/23;37627,25
25/11/23;37813,68
24/11/23;37858,25
23/11/23;37253,9
22/11/23;37625
21/11/23;36841,04
20/11/23;37426,45
19/11/23;37007,99
18/11/23;36566,59
17/11/23;36418,61
16/11/23;35965,5
15/11/23;37647,84
14/11/23;35585,81
13/11/23;36493,45
12/11/23;37182,61
11/11/23;36988
10/11/23;37292,81
9/11/23;36541,56
8/11/23;35593,56
7/11/23;35501,52
6/11/23;35030,04
5/11/23;34682,13
4/11/23;34780,72
3/11/23;34621,06
2/11/23;34917,45
1/11/23;35455,73
31/10/23;34650,56
30/10/23;34439,91
29/10/23;34590,86
28/10/23;34135,43
27/10/23;33836,54
26/10/23;34191,55
25/10/23;34680,57
24/10/23;33651,38
23/10/23;31537,58
22/10/23;29860,75
21/10/23;30028,03
20/10/23;29601
19/10/23;28728,04
18/10/23;28260
17/10/23;28459,42
16/10/23;28405,38
15/10/23;27206,04
14/10/23;26850,06
13/10/23;26976,51
12/10/23;26737,69
11/10/23;26717,11
10/10/23;27405,48
9/10/23;27576,46
8/10/23;27923,41
7/10/23;27937,45
6/10/23;27995,25
5/10/23;27479
4/10/23;27659,68
3/10/23;27396,6
2/10/23;27842,16
1/10/23;27114,69
30/9/23;27072,54
29/9/23;26903,18
28/9/23;27089,32
27/9/23;26238,72
26/9/23;26148,13
25/9/23;26289,25
24/9/23;26505,46
23/9/23;26596,24
22/9/23;26537,68
21/9/23;26601,66
20/9/23;27094,68
19/9/23;27192
18/9/23;26774,69
17/9/23;26446,9
16/9/23;26540,38
15/9/23;26418,35
14/9/23;26578,75
13/9/23;26225,8
12/9/23;26074,38
11/9/23;25087,36
10/9/23;25818,2
9/9/23;25864,03
8/9/23;25902
7/9/23;26002
6/9/23;25669,79
5/9/23;25705,85
4/9/23;25828,28
3/9/23;26045,85
