Date;Last Price
20/8/24;2608,712
19/8/24;2616,755
18/8/24;2666,302
17/8/24;2614,825
16/8/24;2609,595
15/8/24;2550,008
14/8/24;2676,605
13/8/24;2699,353
12/8/24;2681,535
11/8/24;2557,78
10/8/24;2605,375
9/8/24;2594,885
8/8/24;2570,85
7/8/24;2349,552
6/8/24;2489,675
5/8/24;2437,17
4/8/24;2751,505
3/8/24;2892,7
2/8/24;3016,555
1/8/24;3168,36
31/7/24;3221,15
30/7/24;3280,85
29/7/24;3321,32
28/7/24;3259,532
27/7/24;3242,695
26/7/24;3254,663
25/7/24;3153,7
24/7/24;3375,323
23/7/24;3483,601
22/7/24;3490,2
21/7/24;3498,855
20/7/24;3524,08
19/7/24;3506,633
18/7/24;3414,117
17/7/24;3416,505
16/7/24;3440,23
15/7/24;3435,212
14/7/24;3201,097
13/7/24;3163,228
12/7/24;3109,82
11/7/24;3116,09
10/7/24;3095,978
9/7/24;3072,23
8/7/24;2997,95
7/7/24;2998,62
6/7/24;3064,085
5/7/24;2974,752
4/7/24;3142,665
3/7/24;3255,643
2/7/24;3415,2
1/7/24;3463,478
30/6/24;3416,137
29/6/24;3378,715
28/6/24;3383,772
27/6/24;3439,28
26/6/24;3390,012
25/6/24;3410,41
24/6/24;3309,563
23/6/24;3433,677
22/6/24;3494,552
21/6/24;3521,455
20/6/24;3523,915
19/6/24;3551,835
18/6/24;3459,962
17/6/24;3513,33
16/6/24;3598,708
15/6/24;3552,101
14/6/24;3412,272
13/6/24;3476,988
12/6/24;3554,823
11/6/24;3487,275
10/6/24;3670,883
9/6/24;3699,627
8/6/24;3673,601
7/6/24;3690,39
6/6/24;3798,817
5/6/24;3864,165
4/6/24;3806,769
3/6/24;3770,815
2/6/24;3785,23
1/6/24;3803,65
31/5/24;3790,107
30/5/24;3737,718
29/5/24;3749,71
28/5/24;3828,275
27/5/24;3889,067
26/5/24;3858,96
25/5/24;3745,765
24/5/24;3732,081
23/5/24;3756,309
22/5/24;3748,24
21/5/24;3745,907
20/5/24;3501,621
19/5/24;3074,857
18/5/24;3120,4
17/5/24;3090,278
16/5/24;2938,16
15/5/24;3023,498
14/5/24;2891,118
13/5/24;2954,08
12/5/24;2922,41
11/5/24;2922,02
10/5/24;2892,22
9/5/24;3021,51
8/5/24;2950,865
7/5/24;3047,968
6/5/24;3077,12
5/5/24;3137,79
4/5/24;3128,24
3/5/24;3114,8
2/5/24;2986,623
1/5/24;2937,512
30/4/24;2962,47
29/4/24;3175,905
28/4/24;3310,113
27/4/24;3235,835
26/4/24;3143,203
25/4/24;3174,245
24/4/24;3129,995
23/4/24;3209,605
22/4/24;3191,248
21/4/24;3149,715
20/4/24;3157,508
19/4/24;3079,58
18/4/24;3069,813
17/4/24;2972,08
16/4/24;3071,163
15/4/24;3083,275
14/4/24;3068,835
13/4/24;2916,275
12/4/24;3227,097
11/4/24;3524,621
10/4/24;3513,627
9/4/24;3512,871
8/4/24;3689,258
7/4/24;3401,55
6/4/24;3362,442
5/4/24;3335,583
4/4/24;3326,073
3/4/24;3307,371
2/4/24;3271,837
1/4/24;3497,45
31/3/24;3633,2
30/3/24;3508,325
29/3/24;3498,177
28/3/24;3562,545
27/3/24;3510,69
26/3/24;3576,222
25/3/24;3629,196
24/3/24;3413,405
23/3/24;3387,305
22/3/24;3317,84
21/3/24;3483,925
20/3/24;3462,621
19/3/24;3278,593
18/3/24;3507,88
17/3/24;3632,905
16/3/24;3616,92
15/3/24;3629,095
14/3/24;3840,934
13/3/24;3992,008
12/3/24;3951,301
11/3/24;4032,972
10/3/24;3907,117
9/3/24;3912,51
8/3/24;3916,976
7/3/24;3875,071
6/3/24;3848,895
5/3/24;3523,688
4/3/24;3584,66
3/3/24;3478,76
2/3/24;3411,442
1/3/24;3429,73
29/2/24;3350,585
28/2/24;3323,258
27/2/24;3249,63
26/2/24;3185,863
25/2/24;3109,468
24/2/24;2985,498
23/2/24;2942,478
22/2/24;2984,752
21/2/24;2927,677
20/2/24;2988,52
19/2/24;2968,002
18/2/24;2847,25
17/2/24;2786,552
16/2/24;2791,978
15/2/24;2796,427
14/2/24;2780,5
13/2/24;2633,485
12/2/24;2632,54
11/2/24;2504,63
10/2/24;2511,618
9/2/24;2504,087
8/2/24;2425,695
7/2/24;2430,01
6/2/24;2380,475
5/2/24;2286,505
4/2/24;2299,433
3/2/24;2299,8
2/2/24;2295,7
1/2/24;2303,705
31/1/24;2277,595
30/1/24;2380,2
29/1/24;2306,445
28/1/24;2262,965
27/1/24;2272,563
26/1/24;2259,127
25/1/24;2218,047
24/1/24;2215,9
23/1/24;2201,962
22/1/24;2325
21/1/24;2471,965
20/1/24;2464,22
19/1/24;2486,953
18/1/24;2453,965
17/1/24;2524,21
16/1/24;2607,052
15/1/24;2520,518
14/1/24;2525,73
